Unnamed: 0,ticker,date,c_x,change,v,change3,change4,change5,change6,change7,change8,change9,change10,change11,change12,change13,change14,h_y,v_y,oneminvol_y,stddev,count,day_ratio_15,lo_breakout,Predictions_change3
831,FLGT,2021-05-06,73.01,1.9763396,2158387,0,-2.2051773,-5.0267086,-2.4791124,-1.5888234,1.6847007,-0.27393508,2.5475962,2.9174085,0.21914805,1.890152,4.0542393,0,25,6,775.02136,25046,5,34.0,0.33540595
838,PLAY,2021-05-06,44.22,0.63989407,1022392,0,-2.6232474,-3.4599729,1.1759385,0.9497965,0.678426,-3.1207597,-4.25147,-3.4147444,-5.11081,-3.7765718,-3.8444142,0,1,1,688.65704,12896,3,24.0,0.33301944
504,BYND,2021-05-06,119.04,-0.9048285,4849538,0,-6.754032,-10.15625,-10.7442875,-10.954301,-10.78629,-12.264785,-8.534946,-8.131721,1.0164651,0.8820565,7.4260755,0,44,1,779.0428,73559,8,20.0,0.3326112
838,ON,2021-05-06,37.59,0.37283623,4863286,0,0.29263103,-1.3035382,1.0641128,-1.330141,-0.69167334,0.07980846,3.0327215,3.9372172,5.054536,7.102953,5.0811386,0,0,0,4052.6465,46888,3,6.0,0.33190268
837,X,2021-05-06,25.96,2.2939346,20311874,0,12.865948,7.126348,1.3482281,2.5038521,2.311248,-4.237288,-5.546995,-4.006163,-5.739599,-4.1602464,-4.661017,0,0,0,2199.2112,99706,4,10.0,0.33086866
838,GRPN,2021-05-06,48.94,0.47281325,1146821,0,0.91949326,-4.0662036,-2.349816,-5.45566,-4.7200656,-7.9280753,-6.497752,-6.7225175,-3.902738,-1.5733551,0.51082957,0,6,0,1043.2413,14736,10,32.0,0.33036628
838,GPRO,2021-05-06,10.44,-0.47214353,3770970,0,-8.045977,-9.291187,-4.980843,-4.6934867,-1.3409961,-4.501916,-1.9157088,-0.19157088,1.7241379,7.4712644,11.398467,0,7,1,1206.4519,34895,6,5.0,0.3291737
838,EARS,2021-05-06,2.87,5.5172415,1373442,0,20.209059,13.58885,11.149826,12.195122,16.376307,17.421602,18.81533,23.344948,17.073172,14.982578,17.421602,0,11,9,925.6613,4866,4,13.0,0.32857633
838,SM,2021-05-06,16.98,0.2310803,2740394,0,7.656066,3.0035336,4.770318,8.0683155,19.846878,5.418139,3.0624263,7.8916373,7.302709,10.954063,11.837456,0,0,0,1959.4385,21938,10,31.0,0.3262795
838,MGI,2021-05-06,6.54,0.3003003,2316946,1,30.58104,19.11315,22.018349,18.807339,19.724771,13.455658,22.93578,28.746178,36.85015,42.66055,46.17737,0,11,4,808.894,13824,2,13.0,0.32477176
